# dist ab Ms amp Vgr az
3131.55 27.3994 2.89672 47.1002 2.9543 235.948
3114.24 27.8868 2.90039 47.1777 2.9551 235.584
3093.77 28.5923 2.9065 52.1221 2.95349 235.942
3097 28.2983 2.90276 46.1156 2.95508 235.218
3076.46 28.2015 2.8965 53.0836 2.9539 235.576
3056.03 29.4648 2.91077 52.9315 2.95187 235.939
3059.23 28.632 2.89907 50.9866 2.95331 235.206
3038.72 29.6431 2.90934 54.7393 2.95177 235.569
3018.31 31.5605 2.93176 55.6873 2.9508 235.937
3021.49 28.9999 2.89576 52.5238 2.95216 235.197
3001.01 31.6867 2.92942 56.0797 2.95062 235.565
2980.63 33.1071 2.94363 57.096 2.94943 235.937
2983.78 30.9134 2.91461 53.4038 2.95072 235.189
2963.33 32.902 2.93682 57.2942 2.94916 235.562
2942.98 34.6184 2.95404 59.1001 2.94841 235.94
2946.1 32.0157 2.92085 55.0647 2.94958 235.183
2925.68 34.0244 2.94238 58.7619 2.94805 235.561
2905.37 35.8214 2.95984 60.4943 2.94697 235.944
2908.45 34.0701 2.93881 56.6721 2.94815 235.179
2888.06 36.4273 2.96294 60.2177 2.94674 235.562
2867.79 37.3804 2.96924 62.1104 2.94589 235.951
2870.83 35.6796 2.94975 58.3565 2.94713 235.177
2850.48 37.3674 2.96486 61.177 2.94536 235.566
2830.24 39.2144 2.98086 64.7214 2.94449 235.96
2833.25 36.9309 2.95554 59.7146 2.94576 235.177
2812.93 38.4161 2.96767 62.7385 2.94432 235.572
2792.72 40.4239 2.98481 67.4679 2.94312 235.972
2795.7 37.9634 2.95827 61.0452 2.94468 235.18
2775.41 40.5115 2.98145 64.4359 2.94299 235.58
2755.24 42.5755 2.99801 70.2816 2.94172 235.986
2758.18 39.6948 2.96832 63.5063 2.94326 235.184
2737.93 41.4286 2.98182 66.7792 2.94191 235.591
2720.7 41.0905 2.97393 64.4782 2.94187 235.191
2700.48 43.7935 2.9965 69.501 2.94031 235.604
2683.25 43.6007 2.99021 67.6163 2.94067 235.201
2663.07 47.0021 3.01769 73.205 2.93921 235.62
2645.84 46.4955 3.00858 70.0982 2.9394 235.213
2625.7 50.0039 3.03499 76.8989 2.93787 235.639
2608.46 48.8334 3.02025 73.3178 2.93819 235.228
2588.37 52.4555 3.04611 81.1355 2.93596 235.661
2571.12 50.5499 3.02554 75.3879 2.93638 235.246
2551.07 54.2533 3.051 84.3848 2.93398 235.686
2533.82 51.7092 3.02559 78.4259 2.93447 235.267
2513.81 56.7832 3.06095 88.436 2.93172 235.714
2496.55 54.2349 3.03642 82.0586 2.9319 235.292
2476.59 59.2781 3.0697 91.8098 2.92901 235.746
2459.33 56.191 3.04184 85.9998 2.92937 235.319
2439.41 61.5435 3.07598 94.8936 2.92647 235.781
2422.15 58.7401 3.05104 89.925 2.92606 235.351
2402.28 64.6051 3.08696 99.0784 2.92336 235.82
2385 61.9385 3.06391 94.9617 2.92283 235.386
2365.18 67.0727 3.09303 101.613 2.91987 235.864
2347.9 64.4678 3.07104 98.0358 2.91913 235.424
2328.13 70.1803 3.10241 105.654 2.91646 235.911
2310.84 68.9524 3.0899 104.704 2.91545 235.467
2291.13 72.8109 3.10799 109.998 2.91253 235.963
2293.64 66.6644 3.0704 97.3927 2.91517 235.018
2273.82 72.578 3.1017 108.399 2.91119 235.515
2256.61 70.7764 3.08588 103.586 2.9109 235.061
2236.85 75.0925 3.10593 112.692 2.90741 235.567
2219.63 71.9078 3.08215 102.971 2.90787 235.108
2199.93 77.7684 3.11047 115.509 2.90278 235.623
2182.69 76.0905 3.09598 110.01 2.90342 235.16
2163.05 81.5115 3.12011 117.395 2.8989 235.685
2145.8 77.88 3.09523 110.755 2.89937 235.216
2126.22 83.497 3.11967 118.6 2.8957 235.752
2108.96 83.5702 3.1149 118.754 2.89561 235.278
2089.43 87.2678 3.12784 123.225 2.89236 235.825
2072.16 86.9469 3.12102 120.301 2.89222 235.346
2052.7 91.2842 3.13625 125.386 2.89024 235.903
2035.42 91.7881 3.13335 123.421 2.89026 235.419
2016.02 97.3648 3.153 134.968 2.88813 235.988
1998.72 98.3218 3.15189 133.145 2.8887 235.498
1981.52 96.7374 3.13947 130.656 2.89077 235.001
1962.08 100.27 3.14894 134.068 2.88978 235.584
1944.86 101.123 3.14718 136.133 2.89276 235.08
1925.49 107.315 3.16683 144.584 2.89107 235.676
1908.25 106.052 3.15617 142.289 2.89393 235.167
1888.95 110.589 3.16814 145.988 2.89338 235.776
1871.69 108.685 3.155 143.701 2.89581 235.261
1852.47 111.235 3.15878 145.768 2.89483 235.884
1835.19 109.431 3.14599 142.437 2.89748 235.362
1816.05 115.658 3.16368 148.421 2.89407 236
1798.75 112.812 3.14708 145.908 2.89659 235.471
1762.37 116.825 3.14997 148.488 2.89511 235.589
1745.15 114.187 3.13417 150.433 2.89594 235.044
1726.04 121.818 3.15569 153.895 2.89172 235.716
1708.8 121.329 3.14796 159.469 2.89248 235.164
1689.78 130.991 3.17459 165.681 2.88758 235.852
1672.51 128.945 3.16166 167.968 2.8887 235.293
1653.59 138.21 3.18508 172.284 2.88343 235.999
1636.29 136.53 3.17357 175.693 2.88468 235.432
1600.13 150.1 3.20161 193.949 2.88153 235.582
1564.04 152.996 3.1966 193.58 2.87954 235.744
1546.79 154.178 3.1935 202.246 2.88121 235.15
1528.02 167.655 3.22282 214.884 2.87845 235.918
1510.74 164.365 3.20764 214.573 2.87997 235.315
1474.75 168.883 3.20556 223.39 2.88123 235.493
1438.84 179.961 3.21905 228.59 2.88252 235.686
1421.61 179.471 3.211 233.008 2.88084 235.052
1403.01 182.587 3.211 231.578 2.88257 235.893
1385.74 188.439 3.21769 241.5 2.88046 235.249
1349.94 193.723 3.21494 243.929 2.87915 235.463
1314.22 208.88 3.23263 261.491 2.87748 235.693
1297 209.428 3.22641 263.92 2.87296 235.013
1278.59 217.945 3.23577 265.13 2.8758 235.942
1261.32 219.356 3.23103 268.196 2.87188 235.25
1225.72 228.757 3.23344 282.505 2.86857 235.508
1190.22 237.218 3.23308 286.282 2.86525 235.787
1172.98 241.319 3.23255 295.758 2.86062 235.052
1137.51 254.188 3.23841 310.939 2.85617 235.341
1102.14 268.411 3.24497 327.478 2.85199 235.656
1066.87 286.323 3.25555 348.706 2.84729 235.998
1049.6 292.065 3.25544 349.324 2.84043 235.199
1014.37 310.234 3.26346 360.424 2.836 235.556
979.248 326.061 3.26642 373.635 2.83227 235.946
961.99 330.532 3.26297 373.346 2.82892 235.087
926.905 339.669 3.25533 387.986 2.8232 235.496
891.943 359.881 3.2604 405.5 2.81673 235.945
874.693 368.696 3.26078 411.768 2.81082 235.016
839.765 391.335 3.26562 429.24 2.80465 235.489
752.962 460.629 3.28074 496.298 2.78593 235.553
701.081 499.358 3.27983 525.195 2.77498 235.057
666.512 534.734 3.28428 547.846 2.7677 235.718
614.797 579.991 3.27952 585.913 2.75313 235.221
528.891 669.097 3.26797 647.807 2.72718 235.545
477.475 731.988 3.25763 675.218 2.70588 235.005
392.152 846.145 3.22686 746.032 2.65258 235.627
341.035 953.284 3.21305 805.877 2.59875 235.049
205.555 1525.42 3.18426 1132.86 2.3574 235.873
