# az ab Ms amp Vgr dist
268.38 227.043 3.18267 288.531 2.88023 1123.54
269.786 276.274 3.26566 354.916 2.87279 1118.91
271.203 272.803 3.25825 226.637 2.88846 1114.94
272.629 249.294 3.21752 319.334 2.90115 1111.65
274.062 268.605 3.24865 359.088 2.89536 1109.03
275.502 277.426 3.26174 267.724 2.89055 1107.1
276.945 277.658 3.26149 271.172 2.89618 1105.85
278.391 288.661 3.2781 349.448 2.89389 1105.3
279.838 304.632 3.30155 351.978 2.88318 1105.43
281.283 273.119 3.25453 298.573 2.89526 1106.25
282.726 238.29 3.19602 252.124 2.90927 1107.77
284.164 255.608 3.22756 302.707 2.89883 1109.96
285.595 261.556 3.23895 338.971 2.89511 1112.84
287.018 255.659 3.23077 308.531 2.89688 1116.4
288.432 268.358 3.25387 274.739 2.8951 1120.63
263.968 244.514 3.2134 324.309 2.80609 1120.52
265.358 260.116 3.23706 335.059 2.8195 1113.9
266.763 285.813 3.27508 238.996 2.83822 1107.93
268.183 230.89 3.17981 288.03 2.87451 1102.62
269.615 285.134 3.26918 365.125 2.86867 1097.97
271.059 280.43 3.26001 230.867 2.88555 1094.01
272.512 259.137 3.2241 330.006 2.89615 1090.73
273.973 276.025 3.25024 369.018 2.89076 1088.15
275.44 275.343 3.24823 262.196 2.88908 1086.26
276.911 282.908 3.25941 275.63 2.89412 1085.07
278.384 299.559 3.28401 362.512 2.89015 1084.58
279.858 308.208 3.29648 341.048 2.88145 1084.8
281.331 277.398 3.2512 303 2.89316 1085.72
282.8 238.259 3.18594 259.593 2.90791 1087.35
284.264 260.076 3.22514 302.082 2.89694 1089.67
285.721 272.836 3.24743 340.779 2.89331 1092.69
287.169 265.252 3.23701 308.038 2.89549 1096.39
288.606 273.115 3.25185 281.539 2.89418 1100.78
290.032 288.48 3.27809 369.578 2.8886 1105.84
291.444 264.571 3.24331 338.605 2.89201 1111.57
292.84 294.229 3.29255 373.661 2.88101 1117.95
294.221 291.55 3.29196 384.575 2.8774 1124.97
259.555 257.622 3.23755 346.417 2.72193 1123.55
260.913 284.311 3.27621 420.291 2.73197 1114.97
262.291 275.844 3.25922 335.692 2.76599 1107.02
263.688 258.62 3.22764 334.497 2.79766 1099.7
265.103 270.2 3.24339 367.144 2.8108 1093.03
266.535 307.018 3.2959 292.574 2.8263 1087.03
267.981 243.488 3.19257 292.242 2.86814 1081.69
269.441 294.84 3.27336 379.642 2.86344 1077.04
287.328 266.018 3.22837 303.68 2.89403 1076.4
288.79 274.454 3.24419 285.987 2.89293 1080.95
290.24 289.222 3.26955 368.692 2.88659 1086.18
291.675 266.47 3.23689 338.393 2.88919 1092.1
293.094 297.859 3.28848 379.135 2.87822 1098.67
294.495 291.348 3.28242 377.93 2.87563 1105.9
295.877 268.535 3.25084 329.942 2.87438 1113.77
297.24 273.498 3.2629 331.21 2.8722 1122.27
256.496 318.86 3.32948 431.329 2.68152 1122.14
257.833 290.998 3.28499 370.453 2.70128 1112.25
259.193 271.725 3.25071 351.826 2.71738 1102.97
260.575 281.63 3.26201 422.416 2.72923 1094.31
261.978 288.913 3.26913 350.162 2.75467 1086.28
263.401 272.822 3.24058 341.615 2.78976 1078.9
293.359 304.465 3.28851 389.268 2.87559 1079.43
294.781 290.814 3.27227 374 2.8741 1086.87
296.184 272.736 3.24839 325.598 2.87329 1094.96
297.566 271.693 3.251 333.508 2.87081 1103.68
298.926 254.168 3.22659 313.886 2.87054 1113.02
300.262 253.538 3.23032 303.508 2.86911 1122.96
