# az ab Ms amp Vgr
280.395 177.755 3.3191 200.611 2.94439
281.328 174.532 3.31064 244.447 2.93805
282.263 168.413 3.29478 266.337 2.93554
283.198 169.097 3.29633 232.553 2.93167
284.135 154.462 3.25695 165.665 2.9374
285.071 139.4 3.21248 182.858 2.94052
286.006 135.822 3.20143 211.707 2.9388
286.941 132.472 3.19098 213.724 2.93785
287.874 135.546 3.20148 196.548 2.93847
274.74 148.341 3.23954 164.251 2.95614
275.667 170.533 3.29869 244.947 2.94781
276.598 166.467 3.28696 233.771 2.9438
277.532 171.992 3.30004 272.797 2.94184
278.47 185.323 3.3315 276.557 2.93816
279.41 177.393 3.31171 224.727 2.94338
280.353 176.474 3.30881 206.851 2.94579
281.297 177.962 3.31196 244.747 2.93811
282.243 171.576 3.29574 274.931 2.93476
283.19 171.375 3.29505 236.106 2.93205
284.137 157.53 3.25843 170.999 2.93841
285.084 138.772 3.20349 185.151 2.94057
286.03 137.979 3.20128 215.25 2.93816
286.975 134.843 3.19172 217.788 2.93639
287.919 136.387 3.19725 195.13 2.93789
288.861 136.024 3.19683 174.415 2.94092
289.8 143.244 3.22018 175.742 2.9374
290.736 145.545 3.22814 195.086 2.93668
291.669 139.157 3.20984 192.282 2.93885
292.598 139.367 3.21183 195.134 2.93785
293.523 149.859 3.24484 218.436 2.93339
270.929 131.461 3.18688 194.839 2.94472
271.847 144.424 3.22574 205.432 2.94431
272.77 173.538 3.30366 254.859 2.94011
273.698 195.784 3.35435 246.636 2.93568
274.631 142.818 3.2158 161.431 2.95789
275.569 164.234 3.27508 234.962 2.95051
276.511 164.925 3.27566 228.38 2.94624
277.457 168.975 3.28509 268.468 2.94336
278.406 186.137 3.32616 276.156 2.93915
279.358 179.366 3.30928 226.994 2.94372
280.312 174.999 3.29794 210.336 2.94648
281.268 177.271 3.30307 242.682 2.93843
282.225 172.149 3.29001 279.647 2.93384
283.183 172.102 3.28973 236.249 2.93199
284.141 156.436 3.24828 174.49 2.93887
285.099 141.085 3.20357 189.704 2.94021
286.056 138.488 3.19582 219.005 2.93725
287.012 139.759 3.20025 220.761 2.93525
287.967 139.842 3.20114 196.93 2.93758
288.919 140.715 3.20462 182.587 2.93978
289.869 146.943 3.22437 180.95 2.93662
290.815 146.757 3.22491 198.674 2.93581
291.758 140.888 3.20843 196.197 2.93803
292.697 143.827 3.21879 200.409 2.93617
293.631 152.391 3.24545 224.458 2.93132
294.561 156.822 3.25959 244.2 2.92832
295.485 155.569 3.25794 231.455 2.92828
296.404 160.16 3.27254 232.718 2.92357
268.029 119.958 3.14666 133.79 2.94472
268.937 119.929 3.14414 166.22 2.94781
269.853 120.071 3.14237 172.648 2.94605
270.775 131.201 3.17873 194.841 2.94587
